complaintcategory,status,complaintnumber,inspectiondate,bbl
5H,CLOSED,1472840,2018-02-21,1016610017
5H,CLOSED,1472841,2018-02-21,1016610018
59,ACTIVE,1472867,,1016610017
59,ACTIVE,1472870,,1016610018
5H,ACTIVE,1472858,,1016610016
59,ACTIVE,1472872,,1016610016
1Z,ACTIVE,1472869,,1016610017
1Z,ACTIVE,1472871,,1016610018
1Z,ACTIVE,1472873,,1016610016
1W,ACTIVE,1472932,,1016610018
74,ACTIVE,1457355,2018-02-22,1016660028
59,CLOSED,1472870,2018-02-22,1016610018
59,CLOSED,1472867,2018-02-22,1016610017
91,ACTIVE,3639651,,3075670006
5H,CLOSED,1472858,2018-02-22,1016610016
59,CLOSED,1472872,2018-02-21,1016610016
1W,CLOSED,1472932,2018-02-21,1016610018
05,ACTIVE,3639770,,3075670006
91,ACTIVE,3639651,2018-02-23,3075670006
91,CLOSED,3639651,2018-02-23,3075670006
14,ACTIVE,3640387,2018-02-28,3075670006
83,ACTIVE,1470073,2018-02-27,1016670009
05,CLOSED,3639770,2018-03-02,3075670006
14,CLOSED,3640387,2018-03-01,3075670006
58,ACTIVE,1473636,,1016280020
31,ACTIVE,1473651,,1016670016
58,ACTIVE,1473636,2018-03-05,1016280020
58,CLOSED,1473636,2018-03-07,1016280020
