inspectiondate,class
2006-06-20,B
2006-06-20,B
2006-06-20,A
2006-06-20,A
2009-05-15,B
2009-05-15,B
2009-05-15,B
2009-05-15,B
2009-05-15,B
2009-05-15,B
2009-06-15,B
2009-06-15,B
2009-07-08,B
2009-07-08,B
2010-02-11,B
2010-02-18,B
2010-02-18,B
2010-02-18,A
2010-02-18,B
2010-02-18,B
2010-03-24,B
2010-03-24,B
2010-03-24,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-03-27,B
2010-04-04,B
2010-04-04,B
2010-04-04,B
2010-04-02,A
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,A
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,C
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-05-02,B
2010-05-09,B
2010-05-09,B
2010-05-09,B
2011-03-17,C
2018-04-13,B
2011-07-23,A
2011-07-23,B
2011-09-22,B
2011-09-22,B
2011-09-22,B
2011-09-22,B
2011-09-22,B
2011-09-22,A
2011-09-22,A
2011-09-29,B
2012-02-01,C
2012-04-10,B
2012-04-10,B
2012-04-10,B
2012-07-21,B
2012-07-21,B
2012-07-21,B
2013-03-28,C
2013-03-28,B
2013-04-23,C
2013-04-29,C
2013-04-29,B
2013-04-29,B
2013-04-29,A
2013-05-15,A
2013-05-15,B
2013-05-15,B
2013-05-15,B
2013-06-04,B
2013-06-04,B
2013-06-04,B
2013-06-04,B
2013-06-04,B
2013-06-04,B
2017-08-11,A
2013-08-04,A
2013-08-04,A
2013-08-04,B
2013-08-04,A
2013-08-04,C
2013-08-04,B
2013-08-04,B
2013-08-04,A
2013-08-04,B
2013-08-04,C
2013-08-04,A
2017-06-02,B
2017-06-02,B
2017-06-02,B
2014-04-24,C
2015-05-24,C
2015-06-01,C
2015-07-08,C
2017-03-09,C
2013-03-28,C
2017-06-02,A
2017-06-02,A
2017-06-07,B
2017-01-13,C
2017-10-04,B
2018-04-13,C
2018-05-03,B
2018-05-03,B
2018-05-03,B
2017-08-11,B
2018-05-03,B
2018-05-03,A
2018-05-03,A
2018-05-03,A
2011-09-22,B
2014-04-29,B
2014-05-11,A
2014-06-17,C
2014-10-04,A
2016-09-27,B
2016-09-27,B
2016-09-27,B
2016-09-27,B
2016-12-08,B
2017-03-09,B
2017-03-09,B
2017-03-09,B
2017-06-07,A
2017-10-04,B
1998-08-30,B
2010-02-18,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2010-04-02,B
2012-04-10,B
2013-08-04,B
2013-08-04,B
2016-12-09,B
2012-04-10,B
2013-08-04,A
2013-08-04,B
2013-08-04,A
2014-04-29,B
2013-08-04,A
2013-08-04,A
2017-10-04,B
2017-10-04,B
2017-06-07,B
2013-08-04,C
2015-10-01,I
2018-03-30,B
2010-02-16,A
2010-02-16,B
2010-02-16,B
2010-02-16,C
2010-02-16,A
2010-02-16,B
2010-02-16,B
2010-05-27,B
2010-05-27,B
2010-07-06,B
2010-07-06,B
2010-07-11,B
2018-03-30,B
2018-02-27,B
2014-03-19,B
2014-03-19,B
2014-03-19,A
2014-03-19,B
2014-03-19,B
2014-05-14,C
2014-05-14,C
2014-05-14,C
2014-06-23,B
2014-06-23,B
2014-06-23,B
2014-06-25,B
2014-08-13,C
2018-02-27,C
2018-02-27,B
2018-02-27,C
2014-10-06,B
2014-10-06,C
2014-10-06,C
2014-12-12,C
2014-12-12,C
2015-04-15,C
2015-04-15,B
2015-04-15,B
2015-04-15,B
2015-04-15,B
2015-04-15,B
2015-04-15,A
2015-04-15,A
2015-05-29,B
2015-05-29,B
2015-05-29,B
2015-05-29,C
2015-06-11,B
2015-06-11,A
2015-06-11,B
2015-06-11,B
2015-06-11,B
2015-07-13,B
2015-07-13,B
2015-11-18,C
2015-11-18,C
2015-11-18,C
2015-11-18,C
2015-11-18,C
2018-01-11,B
2018-01-11,B
2018-01-11,B
2018-01-11,C
2018-01-11,B
2018-01-11,A
2018-01-11,A
2018-01-11,B
2018-01-11,B
2018-01-11,C
2018-01-11,B
2018-01-11,B
2018-01-11,C
2018-01-11,B
2018-01-11,B
2018-02-27,B
2018-03-15,A
2018-03-15,B
2018-03-15,B
2018-03-15,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2018-03-22,B
2001-04-11,B
2003-01-10,B
2006-03-20,B
2007-02-09,C
2007-02-09,C
2007-02-09,C
2007-09-14,B
2007-09-28,B
2007-12-22,B
2007-12-22,B
2008-01-31,B
2008-06-10,B
