word	time	filler
"170 EAST 105 STREET"	1016320042	0
"168 EAST 105 STREET"	1016320044	0
"166 EAST 105 STREET"	1016320045	0
"162 EAST 105 STREET"	1016320046	0
"160 EAST 105 STREET"	1016320047	0
"156 EAST 105 STREET"	1016320048	0
"154 EAST 105 STREET"	1016320050	0
"150 EAST 105 STREET"	1016320051	0
"1671 LEXINGTON AVENUE"	1016320052	0
"1665 LEXINGTON AVENUE"	1016320053	0
"183 EAST 104 STREET"	1016320133	0
"164 EAST 105 STREET"	1016320145	0
"152 EAST 105 STREET"	1016320150	0
"1673 LEXINGTON AVENUE"	1016320151	0
"1669 LEXINGTON AVENUE"	1016320152	0
"1667 LEXINGTON AVENUE"	1016320153	0
"1663 LEXINGTON AVENUE"	1016320154	0
"1661 LEXINGTON AVENUE"	1016320155	0
"1659 LEXINGTON AVENUE"	1016320156	0
"165 EAST 104 STREET"	1016327501	0
"101 EAST 105 STREET"	1016330001	0
"121 EAST 105 STREET"	1016330010	0
"1680 LEXINGTON AVENUE"	1016330013	0
"1675 LEXINGTON AVENUE"	1016330019	0
"1677 LEXINGTON AVENUE"	1016330020	0
"167 EAST 105 STREET"	1016330028	0
"169 EAST 105 STREET"	1016330029	0
"171 EAST 105 STREET"	1016330030	0
"173 EAST 105 STREET"	1016330031	0
"175 EAST 105 STREET"	1016330032	0
"1904 3 AVENUE"	1016330033	0
"1906 3 AVENUE"	1016330034	0
"1908 3 AVENUE"	1016330035	0
"1910 3 AVENUE"	1016330036	0
"1912 3 AVENUE"	1016330037	0
"1914 3 AVENUE"	1016330038	0
"1916 3 AVENUE"	1016330039	0
"1922 3 AVENUE"	1016330040	0
"174 EAST 106 STREET"	1016330041	0
"154 EAST 106 STREET"	1016330051	1
"152 EAST 106 STREET"	1016330052	0
"150 EAST 106 STREET"	1016330053	0
"1683 LEXINGTON AVENUE"	1016330054	0
"120 EAST 106 STREET"	1016330061	0
"116 EAST 106 STREET"	1016330066	0
"170 EAST 106 STREET"	1016337501	0
"1908 3 AVENUE"	1016337502	0
"101 EAST 106 STREET"	1016340001	0
"105 EAST 106 STREET"	1016340003	0
"113 EAST 106 STREET"	1016340008	0
"115 EAST 106 STREET"	1016340009	0
"123 EAST 106 STREET"	1016340012	0
"125 EAST 106 STREET"	1016340013	0
"129 EAST 106 STREET"	1016340014	0
"1690 LEXINGTON AVENUE"	1016340015	0
"1694 LEXINGTON AVENUE"	1016340016	0
"1698 LEXINGTON AVENUE"	1016340017	0
"1697 LEXINGTON AVENUE"	1016340021	0
"1695 LEXINGTON AVENUE"	1016340022	0
"1693 LEXINGTON AVENUE"	1016340023	0
"1691 LEXINGTON AVENUE"	1016340024	0
"153 EAST 106 STREET"	1016340025	0
"155 EAST 106 STREET"	1016340026	0
